numdate,Plague,Buried
1646.405,5,221
1646.425,9,205
1646.444,13,170
1646.463,22,225
1646.482,10,261
1646.501,25,223
1646.521,28,235
1646.540,50,306
1646.559,58,364
1646.578,82,341
1646.597,106,384
1646.616,132,419
1646.636,195,472
1646.655,207,517
1646.674,238,554
1646.693,149,444
1646.712,157,455
1646.732,175,443
1646.751,114,322
1646.770,115,341
1646.789,106,320
1646.808,67,293
1646.827,52,245
1646.847,55,275
1646.866,27,200
1646.885,37,226
1646.904,34,223
1646.923,32,224
1646.942,26,212
1646.962,29,185
1646.975,27,197
1646.995,16,166
1647.014,10,182
1647.033,6,197
1647.052,18,206
1647.071,16,201
1647.090,9,184
1647.110,13,164
1647.129,2,204
1647.148,1,205
1647.167,4,189
1647.186,2,199
1647.205,5,198
1647.225,4,225
1647.244,7,233
1647.263,14,225
1647.282,9,201
1647.301,6,223
1647.321,7,180
1647.340,3,167
1647.359,11,185
1647.378,5,176
1647.397,1,159
1647.416,12,197
1647.436,7,158
1647.455,17,181
1647.474,16,187
1647.493,9,197
1647.512,47,268
1647.532,97,317
1647.551,128,390
1647.570,151,363
1647.589,209,436
1647.608,191,439
1647.627,248,520
1647.647,161,434
1647.666,208,450
1647.685,267,546
1647.704,184,430
1647.723,215,494
1647.742,212,432
1647.762,183,403
1647.781,172,359
1647.800,163,367
1647.819,114,331
1647.838,120,304
1647.858,84,265
1647.877,66,279
1647.896,60,261
1647.915,18,182
1647.934,17,231
1647.953,15,172
1664.800,,
1664.819,,
1664.838,,
1664.858,,
1664.877,,
1664.896,,
1664.915,,
1664.934,,
1664.953,,
1664.973,,
1664.992,1,237
1665.008,0,349
1665.027,0,394
1665.047,0,415
1665.066,0,474
1665.085,0,409
1665.104,0,393
1665.123,1,462
1665.142,0,393
1665.162,0,396
1665.181,0,441
1665.200,0,433
1665.219,0,363
1665.238,0,353
1665.258,0,344
1665.277,0,382
1665.296,0,344
1665.315,2,398
1665.334,0,388
1665.353,9,347
1665.373,3,353
1665.392,14,385
1665.411,17,399
1665.430,43,405
1665.449,112,558
1665.468,168,611
1665.488,267,684
1665.507,470,1006
1665.526,725,1268
1665.545,1089,1761
1665.564,1843,2785
1665.584,2010,3014
1665.603,2817,4030
1665.622,3880,5319
1665.641,4237,5568
1665.660,6102,7496
1665.679,7000,8252
1665.699,6553,7690
1665.718,7163,8285
1665.737,5544,6460
1665.756,4934,5719
1665.775,4331,5076
1665.795,2668,3219
1665.814,1423,1805
1665.833,1032,1388
1665.852,1414,1787
1665.871,1050,1359
1665.899,650,905
1665.910,330,544
1665.929,211,428
1665.948,243,442
1665.967,281,526
1665.986,152,330
1666.005,70,253
1666.025,89,265
1666.044,158,375
1666.063,79,272
1666.082,56,227
1666.101,52,234
1666.121,59,249
1666.140,69,252
1666.159,42,237
1666.178,28,238
1666.197,29,205
1666.216,33,233
1666.236,17,225
1666.255,26,211
1666.274,28,195
1666.293,41,214
1666.312,24,215
1666.332,41,213
1666.351,54,234
1666.370,59,236
1666.389,32,203
1666.408,20,201
1666.427,27,190
1666.447,30,197
1666.466,23,179
1666.485,34,223
1666.504,35,222
1666.523,33,247
1666.542,51,294
1666.562,49,326
1666.581,39,341
1666.600,42,336
1666.619,48,332
1666.638,43,285
1666.658,30,266
1666.677,103,704
1666.696,0,0
1666.715,0,0
1666.734,31,256
1666.753,23,224
1666.773,13,259
1666.792,24,240
1666.811,16,205
1666.830,14,220
1666.849,10,213
1666.868,3,243
1666.888,7,235
1666.907,7,247
1666.926,2,246
1666.945,4,260
1666.964,3,223
